domain
stripe.com
github.com
shopify.com
wordpress.org
microsoft.com
apple.com
google.com
amazon.com
netflix.com
spotify.com
adobe.com
slack.com
zoom.us
atlassian.com
dropbox.com
salesforce.com
hubspot.com
mailchimp.com
zendesk.com
canva.com
notion.so
figma.com
vercel.com
netilfy.com
aws.amazon.com
cloud.google.com
